Time,Person_Number
2019-07-29 13:30:35,53
2019-07-29 13:31:35,21
2019-07-29 13:32:35,42
2019-07-29 13:33:35,22
2019-07-29 13:34:35,4
2019-07-29 13:35:35,8
2019-07-29 13:36:35,8
2019-07-29 13:37:35,15
2019-07-29 13:38:35,0
2019-07-29 13:39:35,0
2019-07-29 13:40:35,3
2019-07-29 13:41:35,0
2019-07-29 13:42:35,8
2019-07-29 13:43:35,0
2019-07-29 13:44:35,0
2019-07-29 13:45:35,4
2019-07-29 13:46:35,0
2019-07-29 13:47:35,0
2019-07-29 13:48:35,28
2019-07-29 13:49:35,13
2019-07-29 13:50:35,10
2019-07-29 13:51:36,24
2019-07-29 13:52:36,18
2019-07-29 13:53:36,18
2019-07-29 13:54:36,28
2019-07-29 13:55:36,30
2019-07-29 13:56:36,15
2019-07-29 13:57:36,0
2019-07-29 13:58:36,0
2019-07-29 13:59:36,0
2019-07-29 14:00:36,5
2019-07-29 14:01:36,0
2019-07-29 14:02:36,2
2019-07-29 14:03:36,0
2019-07-29 14:04:36,0
2019-07-29 14:05:36,31
2019-07-29 14:06:36,38
2019-07-29 14:07:36,0
2019-07-29 14:08:36,1
2019-07-29 14:09:36,0
2019-07-29 14:10:36,22
2019-07-29 14:11:36,0
2019-07-29 14:12:36,6
2019-07-29 14:13:36,8
2019-07-29 14:14:36,0
2019-07-29 14:15:37,0
2019-07-29 14:16:37,0
2019-07-29 14:17:37,5
2019-07-29 14:18:37,8
2019-07-29 14:19:37,0
2019-07-29 14:20:37,0
2019-07-29 14:21:37,2
2019-07-29 14:22:37,0
2019-07-29 14:23:37,5
2019-07-29 14:24:37,2
2019-07-29 14:25:37,112
2019-07-29 14:26:37,147
2019-07-29 14:27:37,60
2019-07-29 14:28:37,75
2019-07-29 14:29:37,13
2019-07-29 14:30:37,11
2019-07-29 14:31:37,83
2019-07-29 14:32:37,8
2019-07-29 14:33:37,0
2019-07-29 14:34:37,3
2019-07-29 14:35:37,0
2019-07-29 14:36:37,4
2019-07-29 14:37:37,0
2019-07-29 14:38:37,5
2019-07-29 14:39:37,2
2019-07-29 14:40:37,0
2019-07-29 14:41:37,1
2019-07-29 14:42:37,0
2019-07-29 14:43:37,2
2019-07-29 14:44:37,6
2019-07-29 14:45:37,2
2019-07-29 14:46:37,7
2019-07-29 14:47:37,80
2019-07-29 14:48:38,6
2019-07-29 14:49:38,85
2019-07-29 14:50:38,4
2019-07-29 14:51:38,0
2019-07-29 14:52:38,2
2019-07-29 14:53:38,2
2019-07-29 14:54:38,0
2019-07-29 14:55:38,0
2019-07-29 14:56:38,0
2019-07-29 14:57:38,0