Time,Person_Number
2019-07-30 14:09:30,71
2019-07-30 14:10:30,66
2019-07-30 14:11:30,55
2019-07-30 14:12:30,82
2019-07-30 14:13:30,145
2019-07-30 14:14:31,102
2019-07-30 14:15:31,87
2019-07-30 14:16:31,33
2019-07-30 14:17:31,106
2019-07-30 14:18:31,60
2019-07-30 14:19:31,6
2019-07-30 14:20:31,14
2019-07-30 14:21:31,21
2019-07-30 14:22:31,67
2019-07-30 14:23:31,0
2019-07-30 14:24:31,35
2019-07-30 14:25:31,23
2019-07-30 14:26:31,7
2019-07-30 14:27:31,37
2019-07-30 14:28:31,22
2019-07-30 14:29:31,25
2019-07-30 14:30:31,25
2019-07-30 14:31:31,13
2019-07-30 14:32:31,15
2019-07-30 14:33:31,21
